name,lat,lon
Gymnasium Bad Aibling,47.8665763,11.9981487
E.T.A.-Hoffmann-Gymnasium,49.8859686,10.8890889
Kaiser-Heinrich-Gymnasium,49.8884823,10.8774219
Gymnasium Königsbrunn,48.2698266,10.8846455
Christoph-Scheiner-Gymnasium,48.7594548,11.4246824
Schiller-Gymnasium Hof,50.3163202,11.9108733
Maria-Theresia-Gymnasium,48.3691015,10.8897
Martin-Behaim-Gymnasium,49.4144517,11.125504
Gymnasium Dorfen,48.2798227,12.1481567
Gymnasium und Realschule Maria Stern,48.345465,10.8738309
Hallertau-Gymnasium,48.5913585,11.6371627
Ohm-Gymnasium,49.5847789,11.0118451
Maria-Ward-Gymnasium und -Realschule,48.3754462,10.8968434
Ehrenbürg-Gymnasium,49.714394,11.0568433
Herder-Gymnasium,49.7159725,11.058635
Gnadenthal-Gymnasium und Mädchenrealschule,48.7654199,11.4218627
Staatliches Gymnasium Höhenkirchen-Siegertsbrunn,48.0178266,11.7209995
Hertzhaimer-Gymnasium Trostberg,48.0234964,12.548592
Oskar-Maria-Graf-Gymnasium,48.3246793,11.6702065
Jakob-Fugger-Gymnasium,48.3705872,10.8838839
Sebastian-Finsterwalder-Gymnasium,47.8527009,12.1311216
Von-Müller-Gymnasium,49.0042079,12.0747807
Hochfranken-Gymnasium Naila,50.3360462,11.7011975
Gymnasium bei St. Anna,48.3550809,10.8889923
Wilhelm-Diess-Gymnasium Pocking,48.4014026,13.3247089
Labenwolf-Gymnasium,49.4600634,11.0847369
Gymnasium bei St. Stephan,48.3760819,10.898541
Holbein-Gymnasium,48.364529,10.8972482
Rudolf-Diesel-Gymnasium,48.3539722,10.9507185
Reuchlin-Gymnasium,48.7672693,11.4212459
Offene Ganztagsschule am Gymnasium Oberhaching,48.0220447,11.5912014
Karolinen-Gymnasium,47.8614223,12.1249379
Gymnasium Gaimersheim,48.7984231,11.3614981
Illertal-Gymnasium Vöhringen,48.3029835,10.0530782
Helene-Lange-Gymnasium,49.4709044,11.001934
Friedrich-Koenig-Gymnasium,49.7972986,9.9120142
Matthias-Grünewald-Gymnasium,49.7873221,9.9544391
Gymnasium Scheinfeld,49.6694033,10.4658552
Gymnasium Veitshöchheim,49.8305581,9.8856983
Ignaz-Kögler-Gymnasium,48.0522396,10.8735196
Röntgen-Gymnasium,49.7870678,9.9323138
Burkhart-Gymnasium,48.7730162,12.2373562
Gymnasium Wertingen,48.5659207,10.6819558
Herzog-Christian-August-Gymnasium,49.5020514,11.7333206
Gabriel-von-Seidl-Gymnasium,47.7638894,11.5649063
Wolfram-von-Eschenbach-Gymnasium,49.3180933,11.0235547
Gymnasium Gars,48.1574555,12.2781694
Albertus-Magnus-Gymnasium,49.0226437,12.0753161
Simpert-Kraemer-Gymnasium,48.2433553,10.3557756
Carl-von-Linde-Gymnasium,47.727795,10.3028694
Franz-Miltenberger-Gymnasium,50.3199773,9.8140696
Erasmus-Grasser-Gymnasium,48.1227772,11.5069106
Dag-Hammarskjöld-Gymnasium,49.7875366,9.9475326
Gymnasium Wendelstein,49.3460003,11.1583832
Allgäu-Gymnasium,47.7153721,10.306568
Erweiterungsbau Luisenburg-Gymnasium,50.0353575,12.0036176
Dossenberger-Gymnasium,48.44779,10.2854789
Hildegardis-Gymnasium,47.722607,10.3046932
Marianum Buxheim Gymnasium,47.9983354,10.1327913
Staatliches Pestalozzi-Gymnasium,48.1274865,11.5823816
Gisela-Gymnasium,48.5737776,13.4713851
Städtisches Lion-Feuchtwanger-Gymnasium,48.1781018,11.5808771
Edith-Stein-Gymnasium,48.1314498,11.6016816
Ruperti-Gymnasium,48.2465212,12.527817
Gymnasium Feuchtwangen,49.1653937,10.3410553
Siebold-Gymnasium,49.795917,9.9419815
Riemenschneider-Gymnasium,49.7968999,9.9421075
Maria-Theresia-Gymnasium,48.1243082,11.5887126
Friedrich-Dessauer-Gymnasium,49.9735658,9.1317499
Johannes-Turmair-Gymnasium,48.8884944,12.588154
Gymnasium Max-Josef-Stift,48.1419321,11.6104915
Gymnasium Dinkelsbühl,49.0650761,10.31681
Arnold-Gymnasium,50.3323525,11.1269958
Hermann-Staudinger-Gymnasium,49.8102479,9.1555528
Gymnasium Neustadt,49.7254825,12.1777721
Ludwig-Thoma-Gymnasium,47.8573089,12.3487022
Gymnasium Eckental,49.5773597,11.1991673
Anton-Bruckner-Gymnasium,48.8726402,12.5634161
Clavius-Gymnasium,49.8945275,10.8849086
Gabrieli-Gymnasium,48.8934058,11.1866546
Albrecht-Altdorfer-Gymnasium,49.0173975,12.1074773
Gymnasium Carolinum,49.3011603,10.569498
Franz-Ludwig-Gymnasium,49.8932968,10.8951931
Wilhelm-Hausenstein-Gymnasium,48.152356,11.6267874
Peutinger-Gymnasium,48.3726702,10.8888729
Gymnasium Herzogenaurach,49.5614739,10.876576
Deutschherren-Gymnasium,48.4588371,11.1453454
Gymnasium Gröbenzell,48.1928923,11.3824294
Staatliches Gymnasium Pullach i. Isartal,48.0667631,11.526416
Wittelsbacher-Gymnasium,48.1453614,11.5485026
Elly-Heuss-Gymnasium,49.6714736,12.1650379
Johann-Sebastian-Bach-Gymnasium,49.2517272,10.8350925
Illertal-Gymnasium Vöhringen,48.3025406,10.0531587
Gymnasium Münchberg,50.1966641,11.7936299
Platen-Gymnasium,49.2996163,10.5776798
Hallertau-Gymnasium Wolnzach,48.5913049,11.6367989
Adalbert-Stifter-Gymnasium,48.5642543,13.4467503
Max-Born-Gymnasium,48.1340902,11.3713637
Gymnasium Grünwald,48.037329,11.5277053
Staatliches Luitpold-Gymnasium,48.144609,11.5925071
Regental-Gymnasium Nittenau,49.1957075,12.2788043
Albert-Einstein-Gymnasium,48.0944953,11.560006
Otto-von-Taube-Gymnasium,48.0778058,11.3762769
Gymnasium Fränkische Schweiz,49.7829569,11.1789416
Staatliches Gymnasium Pullach i. Isartal,48.066577,11.5255445
Oskar-von-Miller-Gymnasium,48.164948,11.584023
Rupprecht-Gymnasium,48.151297,11.5438927
Städtisches Adolf-Weber-Gymnasium,48.1534556,11.5439774
Jean-Paul-Gymnasium,50.322175,11.9146452
Marie-Therese-Gymnasium,49.5986167,11.017228
Obermenzinger Gymnasium,48.1692214,11.4767999
Dietrich-Bonhoeffer-Gymnasium,49.4329645,10.9636333
Gymnasium Untergriesbach,48.578095,13.6634432
Albert-Schweitzer-Gymnasium,49.6003604,10.9766968
Camerloher-Gymnasium Freising,48.4055867,11.7308929
Dalberg-Gymnasium,49.9747191,9.159072
Kronberg-Gymnasium,49.9791214,9.1628667
Josef-Hofmiller-Gymnasium,48.4050667,11.742971
Schulhof Luisenburg-Gymnasium,50.0353646,12.0032015
Gymnasium Lappersdorf,49.0453922,12.0823643
Hardenberg-Gymnasium,49.4635442,10.9956537
Gymnasium Schrobenhausen,48.557596,11.2722894
Gymnasium Realschule,47.5590335,10.2262642
Kepler-Gymnasium,49.6772596,12.1724016
Neues Gymnasium Nürnberg,49.438655,11.1076562
Aventinus-Gymnasium Burghausen,48.1705962,12.8322091
Gymnasium Berchtesgaden,47.6374942,13.0149387
Gymnasium Freyung,48.8121649,13.554647
Ortenburg-Gymnasium,49.457735,12.4097012
Comenius-Gymnasium,48.8419188,12.9624138
Otto-Hahn-Gymnasium Marktredwitz,50.0072195,12.0918527
Lessing-Gymnasium,48.399121,10.0084946
Humboldt-Gymnasium,48.1065753,11.7867681
Emmy-Noether-Gymnasium,49.5605757,11.0017232
Gymnasium Hilpoltstein,49.1840025,11.1998014
Gymnasium Roth,49.23611,11.093222
Korbinian-Aigner-Gymnasium,48.2978284,11.8903
Walter-Gropius-Gymnasium Selb,50.1627256,12.1373494
Vöhlin-Gymnasium,47.980222,10.1789825
Bernhard Strigel Gymnasium,47.9904655,10.1728996
Anne-Frank-Gymnasium,48.2973415,11.9014404
Christian-Ernst-Gymnasium,49.5945242,11.0104436
Willstätter-Gymnasium,49.4564594,11.0825623
Spessart-Gymnasium Alzenau,50.0921738,9.0711472
Balthasar-Neumann-Gymnasium,49.8485937,9.6103242
Gymnasium Ottobrunn,48.0646113,11.6816414
Gymnasium Friedberg,48.3613776,10.9889852
Staatliches Gymnasium Bruckmühl,47.8855169,11.9129783
Staatliches Gymnasium Pullach i. Isartal,48.0664125,11.5258823
Michaeli-Gymnasium München,48.1208974,11.6389606
Schmuttertal-Gymnasium Diedorf,48.3573077,10.7752826
Johann-Michael-Fischer-Gymnasium,49.2005447,12.0639789
Kurt-Huber-Gymnasium,48.1257637,11.4309186
Donau-Gymnasium-Kelheim,48.9145695,11.8884292
Paul-Klee-Gymnasium,48.4162078,10.8771413
Gymnasium Donauwörth,48.7267878,10.7769399
Albrecht-Ernst-Gymnasium,48.9528909,10.5970596
Johannes-Butzbach-Gymnasium,49.708019,9.2501784
Gymnasium Bad Königshofen,50.3022021,10.4701701
Jack-Steinberger-Gymnasium,50.2050929,10.0801511
Jack-Steinberger-Gymnasium,50.2047223,10.0806421
Johann-Philipp-von-Schönborn-Gymnasium,50.2526321,10.1878957
Städtisches Sophie-Scholl-Gymnasium,48.1681242,11.5719667
Städtisches Willi-Graf-Gymnasium,48.1696103,11.5719963
Gymnasium Starnberg,48.0032976,11.3446381
Fachoberschule und Gymnasium Holzkirchen,47.8885533,11.7050375
Erasmus-Gymnasium,49.4409866,11.848606
Max-Reger-Gymnasium,49.4420278,11.8513323
Leibniz-Gymnasium Altdorf,49.3890224,11.3427688
Johannes-Gutenberg-Gymnasium,48.7278372,13.6070747
Karl-Ernst-Gymnasium,49.642472,9.2240026
Gymnasium Ergolding,48.563077,12.173612
Gymnasium Zwiesel,49.0188989,13.2280261
Josef-Effner-Gymnasium,48.2654073,11.4492642
Pirckheimer-Gymnasium,49.4311905,11.0678458
Gymnasium Mering,48.2647843,10.9761167
Gregor-Mendel-Gymnasium,49.4441446,11.87703
Augustinus-Gymnasium,49.679756,12.1682157
Heinrich-Schliemann-Gymnasium,49.4765098,10.9919459
Gymnasium Kirchheim,48.167508,11.7595114
Chiemgau-Gymnasium,47.8722365,12.645493
Ignaz-Günther-Gymnasium,47.8577754,12.1210171
Karl-von-Closen-Gymnasium Eggenfelden/ Gern,48.3948986,12.7699627
Sigena-Gymnasium,49.432083,11.0686337
Gymnasium Steigerwald – Landschulheim Wiesentheid,49.7976183,10.3461499
Dürer-Gymnasium Nürnberg,49.4551864,11.0508634
Hans-Leinberger-Gymnasium,48.5422902,12.1256513
St.-Thomas-Gymnasium,48.3985043,10.3618249
Annette-Kolb-Gymnasium,47.8701035,12.6370855
Egbert-Gymnasium,49.8057472,10.2327471
Gymnasium Fridericianum,49.582594,11.0253375
Willibald-Gluck-Gymnasium,49.2808112,11.448398
Theresien-Gymnasium,49.3151949,10.5594906
Gymnasium Raubling,47.7816986,12.1040838
Goethe-Gymnasium,49.0181373,12.0738061
Goethe-Gymnasium Regensburg,49.017797,12.0741273
Albertus Gymnasium,48.572677,10.4305297
Gymnasium Ernestinum,50.255997,10.969112
Gymnasium Alexandrinum,50.255776,10.9704866
Caspar-Vischer-Gymnasium,50.1016499,11.4483752
Max-Mannheimer-Gymnasium Grafing,48.043905,11.96098
Adam-Kraft-Gymnasium,49.3262972,11.0196355
Georg-Wilhelm-Steller-Gymnasium,49.5020497,10.4229963
Theodor-Heuss-Gymnasium,48.8438589,10.4973632
Theresien-Gymnasium,48.1318522,11.5567617
Gymnasium Dingolfing,48.6296579,12.5039008
Valentin-Heider-Gymnasium,47.5613663,9.6949756
Gymnasium München-Nord,48.1998323,11.5723231
Isar Grundschule / Privates Gymnasium Huber,48.094384,11.5299208
Staatliches Gymnasium Füssen,47.5746731,10.7016051
Käthe-Kollwitz-Gymnasium,48.1521758,11.5174285
Geschwister Scholl Gymnasium und Geschwister Scholl Mittelschule,49.4809925,11.2524003
Johannes-Scharrer-Gymnasium,49.4577367,11.0813137
Werner-Heisenberg-Gymnasium,48.2446787,11.6598066
Simon-Marius-Gymnasium,49.1151181,10.7603765
Mittelschule & Gymnasium Ebern,50.0943066,10.8034288
Gymnasium Kirchseeon,48.0661867,11.8937821
Celtis-Gymnasium,50.0468369,10.2277408
Meranier-Gymnasium Lichtenfels,50.1488627,11.0762663
König-Karlmann-Gymnasium,48.2309149,12.6871266
Maristen-Gymnasium Furth,48.5932758,12.0277155
Justus-von-Liebig-Gymnasium,48.3974817,10.8359859
St.-Gotthard-Gymnasium Niederalteich,48.766408,13.0304485
Gymnasium Landau,48.6790295,12.6836885
Gymnasium Vilshofen,48.6276233,13.1926362
Dom-Gymnasium,48.3996493,11.7451693
Rhön-Gymnasium,50.3258623,10.2155971
Viscardi-Gymnasium Fürstenfeldbruck,48.1675066,11.2243102
Werdenfels-Gymnasium,47.4932089,11.1015784
Gymnasium Penzberg,47.753768,11.3736385
Gymnasium Waldkraiburg,48.2041259,12.4115178
Bodensee-Gymnasium,47.5583565,9.696345
Gymnasium Markt Indersdorf,48.3521966,11.3735743
Gymnasium Ismaning,48.2216148,11.6815141
Wilhelm-Hausenstein-Gymnasium,48.1643252,11.641632
Stiftland-Gymnasium,49.8887089,12.3235275
Gymnasium Feldmoching,48.20876,11.5317835
Gymnasium mit Schülerheim Hohenschwangau,47.5579644,10.7428059
Deutschhaus-Gymnasium,49.7938775,9.9212125
Gymnasium Leopoldinum,48.5736121,13.4707465
Auersperg-Gymnasium Passau Freudenhain,48.5795365,13.4484887
Hans-Carossa-Gymnasium,48.5360357,12.1594898
Wirsberg-Gymnasium,49.7875497,9.9284227
Dr.-Johanna-Decker-Gymnasium,49.4457347,11.8555667
Städtisches Theodolinden-Gymnasium,48.0974569,11.5757127
Carl-Spitzweg-Gymnasium,48.1222873,11.3567882
Friedrich-List-Gymnasium,50.0489952,9.7071096
Johann-Andreas-Schmeller-Gymnasium Nabburg,49.4531251,12.1734929
Rottmayr-Gymnasium,47.9339272,12.9329873
Rainer-Maria-Rilke-Gymnasium Icking,47.9570952,11.4339116
Thomas-Mann-Gymnasium,48.0968125,11.5246893
Karl-Ritter-von-Frisch Gymnasium Moosburg,48.4752115,11.9362227
Gymnasium Karlsfeld,48.217109,11.4552763
Johann-Michael-Sailer-Gymnasium,48.5768022,10.4866205
Städtisches Louise-Schroeder-Gymnasium,48.1796259,11.4631701
Gymnasium Parsberg,49.1613578,11.7290549
Olympia-Morata-Gymnasium,50.0445465,10.2127235
Gymnasium Marktoberdorf,47.7731154,10.6113817
Gymnasium Realschule,47.5589075,10.2262729
Erasmus-Grasser-Gymnasium,48.1229809,11.5035929
Hans-Sachs-Gymnasium,49.4626361,11.0857978
Johann-Schöner-Gymnasium,49.9599241,9.7800946
Joseph-von-Fraunhofer-Gymnasium,49.2248807,12.6646942
Sankt-Anna-Gymnasium,48.1409913,11.5872065
Gymnasium Oberhaching,48.0235094,11.5913185
Gymnasium Grafing,48.0442973,11.9609568
Rhön-Gymnasium,50.3258673,10.2157438
Kurfürst-Maximilian-Gymnasium,48.1613914,12.833522
Gymnasium Landschulheim Marquartstein,47.7520502,12.4672612
Rhabanus-Maurus-Gymnasium,48.0953763,11.0465179
Dante-Gymnasium München,48.1153421,11.5433987
Gymnasium Miesbach,47.7840562,11.8297853
Helene Habermann Gymnasium,48.0953304,11.6041089
Christoph-Jakob-Treu-Gymnasium Container,49.5158291,11.2679913
Gymnasium Olching,48.2143436,11.3446002
